,Asymptomatic_01,Asymptomatic_02,Asymptomatic_03,Asymptomatic_04,Asymptomatic_05,Asymptomatic_06,Asymptomatic_07,Asymptomatic_08,Asymptomatic_09,Asymptomatic_10,Asymptomatic_11,Asymptomatic_12,Asymptomatic_13,Asymptomatic_14,Asymptomatic_15,Asymptomatic_16,Asymptomatic_17,Asymptomatic_18,Asymptomatic_19,Asymptomatic_20,Asymptomatic_21,Asymptomatic_22,Asymptomatic_23,Asymptomatic_24,Asymptomatic_25,Asymptomatic_26,Asymptomatic_27,Asymptomatic_28,Asymptomatic_29,Asymptomatic_30,Asymptomatic_31,Asymptomatic_32,Asymptomatic_33,Asymptomatic_34,Asymptomatic_35,Asymptomatic_36,Asymptomatic_37,Asymptomatic_38,Asymptomatic_39,Asymptomatic_40,Asymptomatic_41,Asymptomatic_42,Asymptomatic_43,Asymptomatic_44,Asymptomatic_45,Asymptomatic_46,Asymptomatic_47,Asymptomatic_48,Asymptomatic_49,Asymptomatic_50,Asymptomatic_51,Asymptomatic_52,Asymptomatic_53,Asymptomatic_54,Asymptomatic_55,Asymptomatic_56,Asymptomatic_57,Asymptomatic_58,Asymptomatic_59,Asymptomatic_60,Asymptomatic_61,Asymptomatic_62,Asymptomatic_63,Asymptomatic_64,Asymptomatic_65,Asymptomatic_66,Asymptomatic_67,Asymptomatic_68,Asymptomatic_69,Asymptomatic_70,Asymptomatic_71,Asymptomatic_72,Asymptomatic_73,Asymptomatic_74,Asymptomatic_75,Asymptomatic_76,Asymptomatic_77,Asymptomatic_78,Asymptomatic_79,Asymptomatic_80,Asymptomatic_81,Asymptomatic_82,Asymptomatic_83,Asymptomatic_84,Asymptomatic_85,Asymptomatic_86,Asymptomatic_87,Asymptomatic_88,Asymptomatic_89,Healthy_01,Healthy_02,Healthy_03,Healthy_04,Healthy_05,Healthy_06,Healthy_07,Healthy_08,Healthy_09,Healthy_10,Healthy_11,Healthy_12,Healthy_13,Healthy_14,Healthy_15,Healthy_16,Healthy_17,Healthy_18,Healthy_19,Healthy_20,Healthy_21,Healthy_22,Healthy_23,Healthy_24,Healthy_25,Healthy_26,Healthy_27,Healthy_28,Healthy_29,Healthy_30,Healthy_31,Healthy_32,Healthy_33,Healthy_34,Healthy_35,Healthy_36,Healthy_37,Healthy_38,Healthy_39,Healthy_40,Healthy_41,Healthy_42,Healthy_43,Healthy_44,Healthy_45,Healthy_46,Healthy_47,Healthy_48,Healthy_49,Healthy_50,Healthy_51,Healthy_52,Healthy_53,Healthy_54,Healthy_55,Healthy_56,Healthy_57,Healthy_58,Healthy_59,Healthy_60,Healthy_61,Healthy_62,Healthy_63,Healthy_64,Healthy_65,Healthy_66,Healthy_67,Healthy_68,Healthy_69,Healthy_70,Healthy_71,Healthy_72,Healthy_73,Healthy_74,Healthy_75,Healthy_76,Healthy_77,Healthy_78,Healthy_79,Healthy_80,Healthy_81,Healthy_82,Healthy_83,Healthy_84,Healthy_85,Healthy_86,Healthy_87,Healthy_88,Healthy_89,Healthy_90,Healthy_91,Healthy_92,Healthy_93,Healthy_94,Healthy_95,Healthy_96,Healthy_97,Healthy_98,Healthy_99,Healthy_100,Healthy_101,Healthy_102,Healthy_103,Healthy_104,Healthy_105,Healthy_106,Healthy_107,Healthy_108,Healthy_109,Healthy_110,Healthy_111,Healthy_112,Healthy_113,Healthy_114,Healthy_115,Healthy_116,Healthy_117,Healthy_118,Healthy_119,Healthy_120,Healthy_121,Healthy_122,Healthy_123,Healthy_124,Healthy_125,Healthy_126,Healthy_127,Healthy_128,Healthy_129,Healthy_130,Healthy_131,Healthy_132,Healthy_133,Healthy_134,Healthy_135,Healthy_136,Healthy_137,Healthy_138,Healthy_139,Healthy_140,Healthy_141,Healthy_142,Healthy_143,Healthy_144,Healthy_145,Healthy_146,Healthy_147,Healthy_148,Healthy_149,Healthy_150,Healthy_151,Healthy_152,Healthy_153,Healthy_154,Healthy_155,Healthy_156,Healthy_157,Healthy_158,Healthy_159,Healthy_160,Healthy_161,Healthy_162,Healthy_163,Healthy_164,Healthy_165,Healthy_166,Healthy_167,Healthy_168,Healthy_169,Healthy_170,Healthy_171,Healthy_172,Healthy_173,Healthy_174,Healthy_175,Healthy_176,Healthy_177,Healthy_178
PC O-34:2 (16:1/18:1),37100,47197,48652,63129,76672,61848,37372,25391,73690,48994,32287,44452,52610,24597,45800,57988,26534,47492,36878,37664,45730,42968,36547,50922,42925,37953,23283,19384,49566,55580,38102,71632,47469,84222,60967,50701,32074,26583,62724,41409,27121,65131,62132,44695,47097,37460,41811,57591,50135,74297,57790,47121,53057,52154,34640,58802,35352,27972,43172,40539,47441,27658,58853,59374,33803,40941,47399,39337,33086,49014,23421,34670,28080,45383,52239,52702,66558,39309,41417,39074,36165,27370,47970,36251,40020,22841,47897,66097,36727,58652,51304,48772,43332,94523,46919,72774,40370,85652,44103,62275,83632,36587,64173,109511,67425,86337,111378,70324,37259,39056,59470,74313,54717,49419,69845,60988,56362,62985,52163,67303,60830,38971,32215,61936,46794,32709,28284,43708,23105,64269,61525,43977,50707,81077,53130,61390,37968,45135,44339,73412,58385,50824,74466,74733,46999,49356,63740,91129,54322,66887,44304,107062,124007,55883,46037,99164,67491,66745,41305,57625,47880,45019,51302,37568,76749,52834,71232,32113,54393,46573,38539,93182,68781,59926,69906,47507,62997,55021,54413,58471,57071,70084,47141,39506,69299,42271,37841,109579,87378,77010,53154,39527,72935,67432,85648,55884,71174,65851,58336,48237,83064,77741,87705,34334,24331,32735,56638,55123,38111,34237,67548,50215,56469,48946,61181,59869,64469,76284,62770,48509,99845,34065,87046,97403,55454,58985,53247,78705,54503,48052,34314,44165,142321,75700,84033,73242,79188,40043,47522,56884,70752,35296,79217,75791,39954,62166,39138,35084,55415,62707,38024,46107,39726,37548,48340,35352,33790,44927,42252,20751,45061,66477,75399,35743,37510,35617,42395
PC O-35:2,17424,22759,12912,33300,22637,28450,18125,9947,15034,18134,17148,17807,24899,5963,14649,26008,10784,18363,16701,13500,22541,13770,17977,14630,16375,15785,5834,14023,22130,6205,11143,20792,17152,35201,13801,20946,6912,5103,22939,18977,7191,24207,10846,13478,19481,7112,19432,28006,18800,38825,23376,21960,22448,20558,14073,20308,11523,10862,23254,17196,27165,8306,19045,28023,12277,21218,7974,14726,16336,18324,9389,15510,14875,23023,30086,24535,32729,11619,16218,18281,19799,11175,20742,16172,16712,10794,24025,30470,16203,24960,16853,19431,14310,35547,20077,40492,15339,17367,7577,24748,38259,10118,20928,55140,26519,26743,42850,20760,4152,14051,21151,27510,13698,20414,10853,18972,23704,21531,13005,27364,19313,14402,8846,24143,13933,14012,14083,13806,5110,28490,31858,17128,14590,30830,26729,25666,14817,21464,10529,32053,11190,21672,28855,27879,9199,15138,31051,19042,22165,15167,12726,31951,31212,23572,14507,44906,22070,24409,18408,18897,7483,15991,20485,16249,30783,20625,31345,16723,20919,21702,19252,34690,24966,20417,20124,13205,24145,22256,15340,21579,16960,23059,12902,15360,21561,12335,15148,44419,31748,29186,28707,18252,9669,26644,42150,31420,29058,27870,12377,22602,31110,40160,32771,16271,11428,11112,16599,23430,7703,19038,30743,14412,16580,12805,22938,10941,14811,24043,20326,8998,35308,11601,22161,29676,14636,10593,19509,35723,21477,21750,6109,8496,44006,36190,46793,19187,27802,17548,20492,32340,31193,8099,38005,38157,17189,39799,10638,16843,18499,28118,23565,14725,16792,15118,11892,17564,13732,29108,19494,4796,19751,34719,22701,21380,13065,22035,8308
PC O-36:3 (18:1/18:2) (ii),27281,36710,23830,43691,50770,61915,30602,23345,45212,36950,23813,35510,37797,20339,27601,46347,10277,31338,25574,23258,34977,32383,22697,18693,34258,33109,15476,24443,34190,37274,22605,43718,31893,50024,36731,37303,26397,18113,42692,31643,13283,46539,50395,29169,26859,20877,35451,37424,33376,56693,39817,40825,28142,45112,29883,40843,27133,21532,36671,33895,31116,16207,47435,57880,27911,31939,37246,22780,29235,27916,15049,22966,19223,20642,20736,36482,43352,32242,21927,25036,22463,15097,27568,29821,20879,14316,31305,40320,37458,33103,25220,29899,34412,59278,30808,30506,29369,23049,27352,50295,56809,29919,35975,87347,50605,36048,48141,62722,20030,21437,49029,41673,44143,37461,47392,36085,45722,33921,26893,38669,37841,21364,24258,48321,29459,21632,7540,38477,10563,19602,31505,30714,40030,45053,39755,52727,26616,20178,26736,58192,30123,34993,20188,34895,41512,31238,41614,44128,37475,26112,20138,74748,96916,38701,25635,52321,29761,58503,30332,30326,28999,43299,33502,23274,54903,40076,48267,19388,41203,32608,29668,61775,53249,46194,67031,37545,46864,42956,34870,52980,38500,38789,31650,31482,34570,25207,29318,69402,53825,68374,44290,20401,48051,53003,78196,40377,47690,41259,40390,30966,61143,53433,65011,37010,16944,24985,33109,37775,25622,22128,38153,43758,41255,33286,25468,38481,41970,63554,36768,25455,86820,18903,59779,62744,38436,34892,42299,48369,42186,35390,24234,23305,45395,51573,49044,31945,67187,28614,33543,35430,50677,22764,45200,62254,21656,52897,39562,18522,29181,32237,27387,34224,20688,27271,36173,24098,23368,26567,24717,14891,31272,40283,42921,29091,9155,20168,22364
PC O-34:3 (16:1/18:2),135439,149106,97870,152678,217041,247518,142979,94285,197213,165354,113949,140223,152959,86707,139665,182593,94012,122671,121864,113344,177678,159110,90547,176320,124607,154140,88677,117112,170757,198317,129631,222331,173828,231735,166512,157901,140461,103489,196852,182175,121097,170615,262830,154855,127180,107090,153808,175021,139158,237155,165398,180994,140730,196657,123071,217597,128345,110028,144284,171138,165295,100330,198838,254146,110287,151999,173667,110533,148543,145099,86978,108598,97079,152712,166323,164247,187984,132453,133637,114574,110692,92963,143369,152939,112949,83149,135223,166612,168697,151281,103281,220373,166289,277855,123485,235019,138040,210096,145155,204653,212019,126975,176031,354325,190625,137877,160073,225021,105655,100118,180796,229567,155467,173429,197850,169736,177568,196045,174504,170862,184012,115989,98382,225590,156352,107536,76079,148826,97767,165931,156488,146891,190603,244399,157010,199664,127238,172072,127929,194127,154957,183267,174277,184063,187547,158642,184324,225272,172322,170486,173663,372935,452726,170521,146160,217199,126674,297058,141212,157660,152355,190525,162995,111250,230175,180625,186337,100485,184521,155637,164172,310530,198943,233729,302315,178261,217490,177330,161788,208958,210809,215105,168896,148829,231349,151065,168155,310705,232104,249063,173082,96777,221883,241762,363256,202219,206340,194799,202621,141924,263209,213150,251046,173805,97313,111398,166084,175296,153985,109037,197435,196678,219522,159354,176528,174866,194074,275041,198568,170344,368094,80474,269111,261629,226184,167842,191928,223864,200487,166667,153556,138230,236332,227074,225391,169035,299666,153870,171034,140410,236168,100365,240042,233333,124517,186551,179592,91825,114299,191130,115251,146673,123491,120808,187198,119279,122585,120315,153736,87548,171887,189341,260915,118049,100228,95612,127778
PC O-42:3 (24:1/18:2),48043,75323,165341,36325,126304,156272,51045,86649,112609,106915,85634,130386,75580,204175,75566,173950,53574,138304,90583,15935,135361,142258,87613,153193,69753,164460,119607,125060,145525,196280,41516,192564,109545,200896,216003,167267,149343,99683,107063,68066,60099,113246,150996,70760,83617,42801,143424,104062,142941,280508,114834,140323,197516,147540,63998,107681,102190,67624,138207,134640,145090,98263,147156,150227,67269,89527,170557,83144,93609,163070,139982,115961,91003,128882,86783,83306,95961,229547,156581,118010,169694,69155,213020,120793,75042,69279,16373,130893,136922,193822,73596,134069,108924,135965,138535,206725,58328,155818,45004,147171,156100,142070,200543,360372,198610,178821,145015,179164,79181,77490,115661,155688,106135,78486,128467,97009,205754,178446,141206,163552,130714,134296,51124,95925,138145,71137,35031,38882,88462,177201,81388,145102,84859,132769,68643,228721,79869,100527,148727,89745,131234,138941,160488,243000,51884,91857,137112,209878,126442,126589,95951,176954,368420,101114,90918,340009,113934,133734,112397,124933,49128,83392,114547,165926,215343,182538,203439,131061,125670,154161,134899,101272,164004,137294,169171,174141,307219,126958,137877,139132,169789,150570,117803,108142,223411,128916,97594,173237,214798,206605,120405,77336,86722,233805,218921,155163,176160,118953,109741,137284,189554,243276,251986,161680,71360,151211,147164,126042,106853,130870,197509,90032,81443,129233,27610,159490,132205,151121,92411,86432,238529,72698,118430,57052,174623,167456,157647,200317,119639,325221,73862,83930,72536,196818,268462,144424,228928,96528,144862,149481,174334,89453,250645,123087,102852,123939,192063,166555,147976,206104,216012,150342,144664,215701,138835,148449,150316,101533,131493,38632,76973,309290,204795,140934,138574,76554,121819
PC O-40:3 (i),75409,124632,171107,88308,146545,210170,95674,88385,184380,89834,57722,132710,131615,209984,164508,185216,91253,150423,47548,39138,126629,166196,93942,164537,54539,197095,119208,134742,173335,170002,39283,134127,93326,230772,211210,210746,153033,115511,127629,141971,42766,69409,154599,97966,109240,93335,152822,44672,98187,328448,147647,134700,212409,168145,94891,123641,109293,54646,159631,145817,59482,66788,154134,170517,131249,45321,185137,34695,91455,173486,126456,99686,82908,159380,147599,111817,68400,202882,147122,75553,77715,101060,239269,63187,20951,38747,72184,135250,145290,193787,102649,144237,110684,98008,95779,209087,109702,167618,60417,174002,217162,70796,210771,478995,190940,210705,139384,214573,73444,81778,111185,186354,115522,99829,172386,141182,248233,193133,76251,178132,155910,127871,103243,153084,162150,43535,47193,59319,56392,177664,134803,158588,118893,141751,137659,227375,93110,94780,149380,124958,158436,152308,203226,300829,104384,123595,169239,233561,142019,87978,47804,220091,345712,88769,43284,385304,77125,136199,121941,149960,67430,64652,108872,184441,238040,179910,249351,90922,144644,146714,130404,100786,175075,158098,192684,191110,289678,146412,136067,116310,163774,170303,49040,79410,219590,122292,99586,92980,269885,223468,121725,51183,113637,248440,266804,139507,115806,156443,56930,163313,228699,276648,335569,170569,90221,166836,157861,141468,91586,154319,248553,84161,91022,126104,99885,182385,148360,187327,103161,132314,258756,82063,131618,130399,169204,161352,182020,196797,69530,265965,56461,46104,171591,233111,328607,164071,235179,105291,156329,165745,174963,65994,232469,98943,129367,160927,193000,145087,164005,113262,214038,146301,154325,197697,153730,137662,151620,75490,135678,13810,68738,302921,216458,151406,81381,49701,112179
PC O-42:2 (14:0/28:2),6518,11030,30954,12115,25685,21233,12557,10170,35588,18508,12210,9142,23169,30907,8147,11625,12208,11916,8488,10406,16486,14244,9102,21197,10806,16206,14179,26756,26351,16486,6150,31465,14619,35658,26540,36116,21889,13847,13005,9203,8512,15809,25527,6502,13805,10429,12560,27455,17316,19655,4180,23798,26078,22574,1684,10448,6533,4979,9834,11646,10717,15880,11104,12989,17878,7465,27532,4788,3870,17038,23267,22001,14368,21824,6518,25283,17060,24790,16394,21144,17387,4905,21651,11541,10311,5860,14922,24451,20649,13471,19530,21029,16191,35451,27371,37888,8519,36164,11575,30594,28955,14704,36866,61625,32699,56446,46310,19329,6993,20201,15904,28531,20074,7187,14921,7557,18655,33980,23782,32306,16618,24571,8650,17464,19462,7070,13123,4904,5641,39738,15542,25172,12701,19530,21387,38724,9176,7093,14776,24488,29434,26300,31689,52152,11870,7004,27246,51503,22722,15762,10742,31794,64330,17383,15546,36309,20298,22691,19590,15864,8811,9001,12128,26805,27778,31749,36746,25392,10348,16317,22757,23215,30362,23312,23238,12058,51447,16992,25379,29025,17618,15129,20369,17060,46057,9560,10084,35050,47059,26561,25364,10578,18043,24349,20584,33057,20386,14593,9586,10758,30609,47987,40695,14647,3867,25067,15068,12865,9394,27148,32339,16486,17103,21213,15521,31196,9724,15443,19123,19122,19462,10148,18015,14975,20027,19781,28613,32052,16606,55325,3080,15766,35360,31471,48972,13407,28068,9722,26710,24348,24088,11804,56401,12851,20959,26893,8983,31685,34505,41046,40063,28616,26209,45364,12717,27927,23893,21537,20968,3693,8857,56862,19349,25124,14533,9433,20204
PC O-40:7 (iii),115034,221968,149272,176571,93719,246190,87861,164381,195542,130881,118132,90931,147549,190989,127729,195953,79916,140980,115653,169047,99451,123715,93829,141443,99419,106118,101946,122236,164648,102876,115382,160961,144788,168416,109669,189207,129448,101940,94314,112199,127073,239803,135895,86613,105369,91400,160586,112144,141712,133964,104491,106903,182582,166477,127518,76012,174774,139116,116392,121034,154748,103656,115400,110406,134261,155509,134095,128869,139996,136424,94314,142591,132618,146998,169536,231282,121916,38556,95525,136591,149387,92710,172108,200983,68838,134073,244974,179550,144779,203835,165579,201926,216209,209759,224507,148244,214526,123993,153869,135558,209218,182785,139686,219512,161426,154102,290976,241442,130983,115473,225347,164763,156676,219365,237584,180042,145351,172960,145223,228299,197275,191266,174607,335408,208623,178031,128239,147203,85523,170567,102995,171839,121529,177004,117030,154810,143739,141455,198632,148437,162413,212792,193563,211282,130886,153488,248436,210052,152472,173832,106722,234233,178703,187369,119590,302313,60969,128973,147718,99834,195997,203675,118589,130931,167886,101249,173230,117429,150953,129956,194384,194746,137689,120873,219020,135365,164789,111898,157486,160625,120449,172966,157545,200283,110705,128824,135349,222543,149924,184005,260036,70014,231120,146640,256111,137033,170137,254156,123538,150644,163353,226582,161248,156173,125984,112721,275055,173276,106961,226420,314841,142965,151885,103283,124834,76356,124731,205651,158263,156322,216555,101672,137882,281482,232238,144149,177264,141735,160392,133763,79896,91195,39138,240927,156058,81516,175541,151766,151877,165428,255944,82307,159456,178258,187328,31595,75938,135771,105227,141228,160655,188596,139543,147393,136116,65576,249635,65246,104374,72734,176736,75316,184560,115553,169629,163123,140697
"PC O-38:6 (18:2/20:4, 16:1/22:5, 16:0/22:6)",28477,51791,47986,40813,38610,31490,29700,24759,69563,42260,44053,26562,42456,32017,13301,34106,31325,43354,38919,48052,38337,33228,31033,38274,30529,13432,22230,28984,49556,22529,32707,47447,36897,52260,41915,36197,28225,31507,31627,43633,35324,67961,46313,43409,37896,30996,50108,46538,39768,38372,39856,34585,75586,47993,39503,37542,45353,41717,41732,39907,54048,37732,28421,41351,31296,60211,36770,35786,43106,26406,33185,45383,37223,41879,58188,51094,56136,10370,28835,39703,41276,23736,38630,41426,33648,33863,55014,49772,30713,49729,34442,47821,35851,68632,57154,44499,43175,45782,37870,54575,50374,36501,28880,71417,31611,63174,77214,68706,38217,43633,56114,52234,40288,51930,50804,76830,30067,44811,39169,68015,46462,35592,35732,81053,40697,42431,33965,42842,17930,50695,46986,38496,36546,58830,46241,45182,55168,49074,71617,42494,70619,72052,49440,50272,39612,39019,75118,73777,44104,47995,38943,66889,48392,75447,29966,96572,34055,40287,35073,36202,39229,65480,37382,29252,45941,36348,64393,35073,53977,36960,74256,102236,42122,54770,67724,34608,38112,40128,34458,51447,57305,56587,48253,36493,47474,44387,35932,80722,45209,38564,69120,28498,87467,74009,82459,71199,43315,99241,40205,46195,68105,62793,47285,42845,28281,29516,59898,45808,47417,69417,63700,37320,51234,23434,32865,42401,38173,53105,50769,43641,75983,59463,39729,95267,30684,51080,42458,43795,54240,35456,34424,38155,80545,71025,80533,62831,58121,82094,69329,48665,61485,35665,50557,55862,63113,56804,26918,32297,42086,39659,44343,65260,57211,35333,76072,28456,48758,69189,35446,28737,68090,33909,53845,40722,48139,68053,27271
SM 34:1,43958,46796,26916,47182,38362,54725,39442,33906,46147,46510,34221,27725,54855,28398,23673,37112,29050,31005,30864,31705,32204,27715,38517,37215,34158,37393,24701,29218,34767,17051,22847,34233,29985,37996,37394,52286,41367,26066,25522,42538,35712,37182,41540,36123,31177,25969,41359,41045,34983,38141,36881,37385,49393,43476,39144,38302,30570,33140,35285,40461,44190,40248,39741,44269,24801,32041,36193,36032,29094,30124,26202,28708,33540,26365,36333,36868,38128,38357,33162,52095,28271,26596,45801,43333,52506,30935,38157,66539,30912,74792,30408,49991,31089,72809,58950,58659,52984,42260,41268,43634,51643,34762,42120,79783,42471,52858,85317,66221,31190,28066,41295,60807,39744,45178,38099,52023,44257,53352,41962,53063,44213,55257,25492,47063,33671,36277,43045,44100,27031,44075,51939,27053,41007,67646,43090,46431,26857,51096,40787,46295,46391,40690,37287,44327,51163,42755,45065,59139,47083,31415,31509,57698,47712,53406,32102,68768,34077,56725,35268,31784,37326,48653,41271,33522,57575,41166,49671,40828,36421,38140,50712,67175,40906,48704,47455,54834,61493,35343,36579,48908,43043,47769,47884,29348,98391,44239,52640,59981,50753,56412,57586,45834,52933,47024,45830,43825,41205,50652,38751,40792,77680,72380,53012,37372,36696,38795,32891,51390,42497,37213,58617,29307,29969,44381,44992,44754,35696,45851,37539,36533,61385,29427,53958,74553,60283,58299,43699,67965,42578,58574,25124,42618,88696,42719,49069,44987,73155,33727,39699,50760,55678,15142,61596,58459,34675,44380,46006,41971,38562,64553,48793,54075,54088,27795,57486,49345,71363,44250,40684,24795,42866,44762,100357,43961,38968,38218,22324
SM 40:2 (d16:1/24:1),734455,1010552,1122083,703441,764692,1363367,1394673,1115346,1472563,1049899,1290674,768243,1920546,1057086,759526,1245368,1105695,861265,1068379,646060,1564408,724967,1210122,933162,1306248,1692527,828052,1493151,720950,897094,1178132,1451217,1033472,1516012,1883747,2108366,875168,727610,874961,1382050,656335,2065909,1042980,981068,1392002,1014848,838864,1296441,1177147,1421933,1384965,1537838,1459601,783432,914727,1591203,1111046,1063872,1517392,941901,1485196,1235565,940736,1411416,954917,1051952,853926,1028950,532857,897892,837432,1026276,1647966,1308696,2222011,903734,1619466,562675,1100951,935806,1063449,997948,1399335,652935,733979,936249,1101663,1708484,619986,572472,529246,1806746,490539,1468153,834828,1446211,763746,1411532,861788,1802576,737843,1207960,1593021,1380889,1281300,2411634,1568229,2259180,1588706,832767,947116,1288730,773094,502487,935090,1214111,934288,1052433,998785,1296019,941384,733845,585838,706536,967841,784079,1011931,1677666,482849,1758812,3539376,1189388,782245,2844503,1116497,2232130,1044614,1665248,786576,1677860,1130794,1457829,1283288,2098638,595674,580201,1239795,1595776,1338231,549972,1032706,1419605,1265931,2208156,1785595,613517,2541845,999792,547095,1266304,706519,860824,1533367,982107,658399,1136168,1355248,1407142,695932,670134,990838,2359716,988411,718104,1429152,1321521,2138706,1305254,711865,1711516,1845143,1069048,1060020,1406512,3852889,1231764,1131016,1640161,2155928,746027,1575593,2053350,956294,682180,1257925,2044719,1273063,2173948,1279118,1900135,2146470,1496734,1645845,1235796,740290,1314615,550099,1145986,1830820,2164574,1707144,1066641,1002137,1372376,677933,1670232,587043,1141388,1837364,2388962,1853258,939916,374915,1713914,1330903,2185667,849658,1112185,1761560,1903198,535883,1663184,1065971,1690546,2966916,2901043,271147,1158687,1925977,1833440,648284,1755653,1576055,1954477,5625353,1399750,177156,1414662,1517489,1965844,2453814,1742674,2055485,1152134,2967261,1246633,712598,3557268,1214044,1108722,3558851,1235986,1319088,1913530,1627852,2012216,3299359
SM 41:2 (d17:1/24:1),338182,405779,511621,339979,247360,297959,374846,333963,677059,357412,553861,343570,834619,310956,376772,539627,383671,423418,603711,289558,527346,332832,403520,361596,475485,456738,283818,612243,349760,234400,345716,506700,353895,609667,723380,767724,236562,243118,356554,528964,220823,780105,380059,319652,517146,231510,415723,507368,485618,681718,489796,503854,1105499,313233,321668,484919,352919,324665,495518,351198,773098,481976,458701,477309,370535,358636,355744,391395,269952,379783,343855,344508,538250,521707,793278,449413,543280,221469,445563,440405,501933,313522,532798,263150,276299,279122,532878,904903,286350,340161,390473,666997,179385,606216,401405,647805,312874,575722,306729,644124,491740,529864,607834,600223,449199,952756,1077795,990430,544184,262811,403958,586370,364828,265699,444096,658960,540260,489935,322095,655141,392767,425121,257334,365556,384983,258684,290449,699340,185777,811970,1285636,432746,229658,1009254,612270,886524,482580,690291,317852,579320,527593,621702,535255,801598,242642,248505,589524,767535,511832,308182,262378,722371,610511,761960,472009,910485,691297,491741,214447,537922,332110,315177,618467,461640,335269,403210,752403,526932,358560,288815,414077,638684,505060,371618,538810,566398,826464,647075,334126,742896,506361,492092,428649,511849,1151090,297368,189563,834652,780480,352248,609642,878347,328656,352743,564916,717771,510819,778011,547199,730279,773776,838694,833053,366168,286750,487110,256229,695853,304771,865953,723484,466305,361479,343142,293095,753199,308994,531494,809021,578419,766621,377249,371326,657055,414296,831852,417451,588707,618472,983195,62938,585584,583051,613163,1188540,965158,365296,469632,580742,714218,312604,740414,710652,651724,1156828,801217,95091,539960,538803,776612,904501,706885,784332,581717,727614,518154,377950,1550349,405883,339936,952470,653360,473867,774451,460729,686453,244843
SM 43:2 (ii),69873,19508,102616,34570,14676,51506,56967,47614,123029,38841,78307,42723,130896,53474,46885,52208,60159,60506,77917,23640,68686,19734,31934,41730,73486,51397,33679,75196,32803,43959,49110,106138,24894,61155,158098,150901,41709,16477,27794,63483,25591,94147,54985,57795,41941,50451,67220,49128,102999,42122,56152,46073,102547,33783,51913,66861,38311,49734,65780,50874,139112,65132,36304,57814,52366,59691,53079,71293,43328,52315,35823,42155,41498,57151,94659,50253,80552,43481,23525,65235,61188,34355,81231,46981,48687,42205,66313,153202,38991,56133,76399,80570,20473,83435,67947,106324,45635,37403,50660,70105,60485,66068,108890,76304,77891,174398,347468,178877,96750,66201,78771,57417,82756,37825,45972,106131,71889,66012,47550,121282,50804,43737,29845,42853,64800,41611,62769,109504,19137,146153,129304,60527,45335,197346,72886,127976,65375,84312,75079,83626,87487,58147,81112,110553,50629,39472,70550,87648,36323,44186,46566,92877,97369,80053,79545,122735,129715,60728,15733,63096,61358,54455,43018,80502,25961,67549,96162,99074,48509,44622,53675,114842,72491,55148,56727,62316,90683,30233,30102,132613,28609,79184,66045,84814,181538,65053,36604,105066,96081,45554,106436,72415,47511,42371,85294,108954,50652,98783,68268,90471,90236,135171,95687,87336,31254,82413,18007,117032,95635,93695,33873,77595,43927,62401,27661,93043,46310,59642,107062,125002,82942,69622,49995,65673,83072,91388,76522,103513,90266,133652,28363,73630,165530,81144,102787,109822,75124,70323,87772,104325,38495,97277,45904,80920,151112,83661,30438,75721,122868,83398,65021,105743,163829,61556,83446,71660,53951,202930,68746,49132,103050,97098,67227,71623,85241,70642,33915
LPE O-16:1,52750,46135,22334,27523,66285,68787,54197,34862,42912,78390,22088,23542,30561,40488,17028,47463,33743,60238,34500,33550,59806,27587,27851,26414,63281,31210,21406,22848,30157,76322,35115,41249,38497,36833,36677,32381,62493,28231,14213,31290,22626,36028,52579,97451,46937,28622,40751,55686,25235,41270,66500,29744,50491,31446,65109,34929,25414,23201,54846,27127,28236,30729,16234,67163,35733,54331,31898,24297,28633,25610,22538,17067,58300,30465,25077,58740,29450,17057,39116,39262,25723,23402,23975,47568,28463,41121,63365,33113,50827,30081,22929,50452,51125,60933,38164,42962,67723,56810,50701,58746,51951,45575,47495,46525,39133,54769,97488,74609,47103,27896,62599,64363,31832,36758,30052,47792,34506,43108,55328,38643,33615,38783,22052,43350,38429,48918,44556,49369,29051,45428,39776,38333,42917,40957,25382,45535,35965,32015,44373,36096,53686,44324,38355,38561,43859,38637,38978,61331,50214,54854,89711,87216,63314,56038,66235,29370,63846,53932,29946,41476,44101,52463,38195,40355,33593,44210,33274,46322,46828,42099,54934,92244,56862,34625,48288,62292,45190,32712,51449,60874,53680,57691,71420,36450,52774,36272,46913,53481,70803,31000,39979,38486,51800,49348,63827,54098,45187,80278,44788,52656,48712,38120,35180,46370,48503,44371,25584,58556,46926,40489,58052,49690,81768,37821,38342,45923,48794,56142,39698,46989,53971,65119,46540,58493,89874,53846,46313,54025,39297,45224,56178,29455,31588,53568,45948,30757,74360,38700,34001,36933,63402,37410,32820,36279,59606,35766,46317,29043,23379,45958,33335,40413,31229,31264,53285,33739,25332,48011,64985,46100,51142,30924,61512,36601,75056,48369,27473
